cell,corner,vdd_V,temp_C,input,output,before,after,output_edge,delay_ps,slew_20_80_ps,ideal_wire
rev_cnot,sf,1.98,-40,A,B_OUT,11,01,rise,86.0091,89.715,False
rev_cnot,sf,1.98,-40,B,B_OUT,11,10,rise,151.5082,216.8318,False
rev_cnot,fs,1.8,27,A,A_OUT,00,10,rise,0.0,60.0,True
rev_cnot,fs,1.8,27,A,B_OUT,00,10,rise,107.0171,140.4781,False
rev_cnot,fs,1.8,27,B,B_OUT,00,01,rise,43.4474,100.3615,False
rev_cnot,fs,1.8,27,A,A_OUT,01,11,rise,0.0,60.0,True
rev_cnot,fs,1.8,27,A,B_OUT,01,11,fall,67.6274,61.7541,False
rev_cnot,fs,1.8,27,B,B_OUT,01,00,fall,43.2671,60.1761,False
rev_cnot,fs,1.8,27,A,A_OUT,10,00,fall,0.0,60.0,True
rev_cnot,fs,1.8,27,A,B_OUT,10,00,fall,66.5661,41.993,False
rev_cnot,fs,1.8,27,B,B_OUT,10,11,fall,81.34,62.6069,False
rev_cnot,fs,1.8,27,A,A_OUT,11,01,fall,0.0,60.0,True
rev_cnot,fs,1.8,27,A,B_OUT,11,01,rise,67.8924,71.4192,False
rev_cnot,fs,1.8,27,B,B_OUT,11,10,rise,115.5569,145.6117,False
rev_cnot,fs,1.62,125,A,A_OUT,00,10,rise,0.0,60.0,True
rev_cnot,fs,1.62,125,A,B_OUT,00,10,rise,125.8798,163.4347,False
rev_cnot,fs,1.62,125,B,B_OUT,00,01,rise,50.5177,103.7354,False
rev_cnot,fs,1.62,125,A,A_OUT,01,11,rise,0.0,60.0,True
rev_cnot,fs,1.62,125,A,B_OUT,01,11,fall,89.1461,93.9964,False
rev_cnot,fs,1.62,125,B,B_OUT,01,00,fall,49.9269,70.0488,False
rev_cnot,fs,1.62,125,A,A_OUT,10,00,fall,0.0,60.0,True
rev_cnot,fs,1.62,125,A,B_OUT,10,00,fall,76.7166,57.0233,False
rev_cnot,fs,1.62,125,B,B_OUT,10,11,fall,106.9622,96.3442,False
rev_cnot,fs,1.62,125,A,A_OUT,11,01,fall,0.0,60.0,True
rev_cnot,fs,1.62,125,A,B_OUT,11,01,rise,74.6904,81.2491,False
rev_cnot,fs,1.62,125,B,B_OUT,11,10,rise,131.9571,167.367,False
rev_cnot,fs,1.98,-40,A,A_OUT,00,10,rise,0.0,60.0,True
rev_cnot,fs,1.98,-40,A,B_OUT,00,10,rise,93.0353,126.6009,False
rev_cnot,fs,1.98,-40,B,B_OUT,00,01,rise,36.3879,98.1682,False
rev_cnot,fs,1.98,-40,A,A_OUT,01,11,rise,0.0,60.0,True
rev_cnot,fs,1.98,-40,A,B_OUT,01,11,fall,53.6458,44.5786,False
rev_cnot,fs,1.98,-40,B,B_OUT,01,00,fall,37.5612,53.6989,False
rev_cnot,fs,1.98,-40,A,A_OUT,10,00,fall,0.0,60.0,True
rev_cnot,fs,1.98,-40,A,B_OUT,10,00,fall,58.544,33.789,False
rev_cnot,fs,1.98,-40,B,B_OUT,10,11,fall,65.1425,44.2262,False
rev_cnot,fs,1.98,-40,A,A_OUT,11,01,fall,0.0,60.0,True
rev_cnot,fs,1.98,-40,A,B_OUT,11,01,rise,61.832,66.1373,False
rev_cnot,fs,1.98,-40,B,B_OUT,11,10,rise,102.9332,132.8319,False
rev_toffoli,tt,1.8,27,A,A_OUT,000,100,rise,0.0,60.0,True
rev_toffoli,tt,1.8,27,B,B_OUT,000,010,rise,0.0,60.0,True
rev_toffoli,tt,1.8,27,C,C_OUT,000,001,rise,43.5583,115.909,False
rev_toffoli,tt,1.8,27,A,A_OUT,001,101,rise,0.0,60.0,True
rev_toffoli,tt,1.8,27,B,B_OUT,001,011,rise,0.0,60.0,True
rev_toffoli,tt,1.8,27,C,C_OUT,001,000,fall,42.2586,48.2487,False
rev_toffoli,tt,1.8,27,A,A_OUT,010,110,rise,0.0,60.0,True
rev_toffoli,tt,1.8,27,A,C_OUT,010,110,rise,138.4389,176.3674,False
rev_toffoli,tt,1.8,27,B,B_OUT,010,000,fall,0.0,60.0,True
