cell,corner,vdd_V,temp_C,input,output,before,after,output_edge,delay_ps,slew_20_80_ps,ideal_wire
rev_cnot,fs,1.8,27,B,B_OUT,10,11,fall,105.4768,78.5407,False
rev_cnot,fs,1.8,27,A,A_OUT,11,01,fall,0.0,60.0,True
rev_cnot,fs,1.8,27,A,B_OUT,11,01,rise,82.2669,88.0274,False
rev_cnot,fs,1.8,27,B,B_OUT,11,10,rise,154.8425,189.4564,False
rev_cnot,fs,1.62,125,A,A_OUT,00,10,rise,0.0,60.0,True
rev_cnot,fs,1.62,125,A,B_OUT,00,10,rise,155.8652,205.4333,False
rev_cnot,fs,1.62,125,B,B_OUT,00,01,rise,56.4887,121.1697,False
rev_cnot,fs,1.62,125,A,A_OUT,01,11,rise,0.0,60.0,True
rev_cnot,fs,1.62,125,A,B_OUT,01,11,fall,103.7313,112.8249,False
rev_cnot,fs,1.62,125,B,B_OUT,01,00,fall,55.3525,80.1419,False
rev_cnot,fs,1.62,125,A,A_OUT,10,00,fall,0.0,60.0,True
rev_cnot,fs,1.62,125,A,B_OUT,10,00,fall,102.7467,80.4966,False
rev_cnot,fs,1.62,125,B,B_OUT,10,11,fall,140.1504,121.5885,False
rev_cnot,fs,1.62,125,A,A_OUT,11,01,fall,0.0,60.0,True
rev_cnot,fs,1.62,125,A,B_OUT,11,01,rise,90.1874,99.4413,False
rev_cnot,fs,1.62,125,B,B_OUT,11,10,rise,177.5565,216.4492,False
rev_cnot,fs,1.98,-40,A,A_OUT,00,10,rise,0.0,60.0,True
rev_cnot,fs,1.98,-40,A,B_OUT,00,10,rise,114.4636,161.3789,False
rev_cnot,fs,1.98,-40,B,B_OUT,00,01,rise,41.2213,110.3675,False
rev_cnot,fs,1.98,-40,A,A_OUT,01,11,rise,0.0,60.0,True
rev_cnot,fs,1.98,-40,A,B_OUT,01,11,fall,61.7956,51.8248,False
rev_cnot,fs,1.98,-40,B,B_OUT,01,00,fall,41.7124,57.5981,False
rev_cnot,fs,1.98,-40,A,A_OUT,10,00,fall,0.0,60.0,True
rev_cnot,fs,1.98,-40,A,B_OUT,10,00,fall,77.8799,48.4366,False
rev_cnot,fs,1.98,-40,B,B_OUT,10,11,fall,83.8252,54.4659,False
rev_cnot,fs,1.98,-40,A,A_OUT,11,01,fall,0.0,60.0,True
rev_cnot,fs,1.98,-40,A,B_OUT,11,01,rise,75.969,82.4084,False
rev_cnot,fs,1.98,-40,B,B_OUT,11,10,rise,137.6527,173.3842,False
rev_toffoli,tt,1.8,27,A,A_OUT,000,100,rise,0.0,60.0,True
rev_toffoli,tt,1.8,27,B,B_OUT,000,010,rise,0.0,60.0,True
rev_toffoli,tt,1.8,27,C,C_OUT,000,001,rise,50.6076,134.5288,False
rev_toffoli,tt,1.8,27,A,A_OUT,001,101,rise,0.0,60.0,True
rev_toffoli,tt,1.8,27,B,B_OUT,001,011,rise,0.0,60.0,True
rev_toffoli,tt,1.8,27,C,C_OUT,001,000,fall,46.8376,54.9325,False
rev_toffoli,tt,1.8,27,A,A_OUT,010,110,rise,0.0,60.0,True
rev_toffoli,tt,1.8,27,A,C_OUT,010,110,rise,182.918,220.4127,False
rev_toffoli,tt,1.8,27,B,B_OUT,010,000,fall,0.0,60.0,True
rev_toffoli,tt,1.8,27,C,C_OUT,010,011,rise,48.8546,133.2017,False
rev_toffoli,tt,1.8,27,A,A_OUT,011,111,rise,0.0,60.0,True
rev_toffoli,tt,1.8,27,A,C_OUT,011,111,fall,141.9861,77.5878,False
rev_toffoli,tt,1.8,27,B,B_OUT,011,001,fall,0.0,60.0,True
rev_toffoli,tt,1.8,27,C,C_OUT,011,010,fall,47.7734,56.2993,False
rev_toffoli,tt,1.8,27,A,A_OUT,100,000,fall,0.0,60.0,True
rev_toffoli,tt,1.8,27,B,B_OUT,100,110,rise,0.0,60.0,True
rev_toffoli,tt,1.8,27,B,C_OUT,100,110,rise,187.5995,220.5191,False
rev_toffoli,tt,1.8,27,C,C_OUT,100,101,rise,48.8578,133.2044,False
rev_toffoli,tt,1.8,27,A,A_OUT,101,001,fall,0.0,60.0,True
rev_toffoli,tt,1.8,27,B,B_OUT,101,111,rise,0.0,60.0,True
rev_toffoli,tt,1.8,27,B,C_OUT,101,111,fall,146.0202,77.5909,False
rev_toffoli,tt,1.8,27,C,C_OUT,101,100,fall,47.7757,56.3014,False
rev_toffoli,tt,1.8,27,A,A_OUT,110,010,fall,0.0,60.0,True
rev_toffoli,tt,1.8,27,A,C_OUT,110,010,fall,161.2978,59.4418,False
rev_toffoli,tt,1.8,27,B,B_OUT,110,100,fall,0.0,60.0,True
rev_toffoli,tt,1.8,27,B,C_OUT,110,100,fall,193.1309,61.1836,False
rev_toffoli,tt,1.8,27,C,C_OUT,110,111,fall,92.2495,66.6388,False
rev_toffoli,tt,1.8,27,A,A_OUT,111,011,fall,0.0,60.0,True
rev_toffoli,tt,1.8,27,A,C_OUT,111,011,rise,187.3904,111.0777,False
rev_toffoli,tt,1.8,27,B,B_OUT,111,101,fall,0.0,60.0,True
rev_toffoli,tt,1.8,27,B,C_OUT,111,101,rise,219.5764,111.7475,False
rev_toffoli,tt,1.8,27,C,C_OUT,111,110,rise,182.0383,244.1175,False
rev_toffoli,tt,1.62,125,A,A_OUT,000,100,rise,0.0,60.0,True
rev_toffoli,tt,1.62,125,B,B_OUT,000,010,rise,0.0,60.0,True
rev_toffoli,tt,1.62,125,C,C_OUT,000,001,rise,58.1103,141.2504,False
rev_toffoli,tt,1.62,125,A,A_OUT,001,101,rise,0.0,60.0,True
rev_toffoli,tt,1.62,125,B,B_OUT,001,011,rise,0.0,60.0,True
rev_toffoli,tt,1.62,125,C,C_OUT,001,000,fall,52.7764,65.7951,False
rev_toffoli,tt,1.62,125,A,A_OUT,010,110,rise,0.0,60.0,True
rev_toffoli,tt,1.62,125,A,C_OUT,010,110,rise,211.0588,245.3975,False
rev_toffoli,tt,1.62,125,B,B_OUT,010,000,fall,0.0,60.0,True
rev_toffoli,tt,1.62,125,C,C_OUT,010,011,rise,56.3288,140.1008,False
rev_toffoli,tt,1.62,125,A,A_OUT,011,111,rise,0.0,60.0,True
rev_toffoli,tt,1.62,125,A,C_OUT,011,111,fall,173.73,106.803,False
rev_toffoli,tt,1.62,125,B,B_OUT,011,001,fall,0.0,60.0,True
rev_toffoli,tt,1.62,125,C,C_OUT,011,010,fall,53.8596,67.6437,False
rev_toffoli,tt,1.62,125,A,A_OUT,100,000,fall,0.0,60.0,True
rev_toffoli,tt,1.62,125,B,B_OUT,100,110,rise,0.0,60.0,True
rev_toffoli,tt,1.62,125,B,C_OUT,100,110,rise,217.9854,245.4668,False
rev_toffoli,tt,1.62,125,C,C_OUT,100,101,rise,56.3333,140.1041,False
rev_toffoli,tt,1.62,125,A,A_OUT,101,001,fall,0.0,60.0,True
rev_toffoli,tt,1.62,125,B,B_OUT,101,111,rise,0.0,60.0,True
rev_toffoli,tt,1.62,125,B,C_OUT,101,111,fall,180.1403,106.7802,False
rev_toffoli,tt,1.62,125,C,C_OUT,101,100,fall,53.8632,67.6479,False
rev_toffoli,tt,1.62,125,A,A_OUT,110,010,fall,0.0,60.0,True
rev_toffoli,tt,1.62,125,A,C_OUT,110,010,fall,182.5489,73.3645,False
rev_toffoli,tt,1.62,125,B,B_OUT,110,100,fall,0.0,60.0,True
rev_toffoli,tt,1.62,125,B,C_OUT,110,100,fall,215.8193,75.3493,False
rev_toffoli,tt,1.62,125,C,C_OUT,110,111,fall,117.4917,96.0439,False
rev_toffoli,tt,1.62,125,A,A_OUT,111,011,fall,0.0,60.0,True
rev_toffoli,tt,1.62,125,A,C_OUT,111,011,rise,209.732,123.0673,False
rev_toffoli,tt,1.62,125,B,B_OUT,111,101,fall,0.0,60.0,True
rev_toffoli,tt,1.62,125,B,C_OUT,111,101,rise,243.1842,123.66,False
rev_toffoli,tt,1.62,125,C,C_OUT,111,110,rise,197.6127,268.4951,False
rev_toffoli,tt,1.98,-40,A,A_OUT,000,100,rise,0.0,60.0,True
rev_toffoli,tt,1.98,-40,B,B_OUT,000,010,rise,0.0,60.0,True
rev_toffoli,tt,1.98,-40,C,C_OUT,000,001,rise,42.9512,125.9184,False
rev_toffoli,tt,1.98,-40,A,A_OUT,001,101,rise,0.0,60.0,True
rev_toffoli,tt,1.98,-40,B,B_OUT,001,011,rise,0.0,60.0,True
rev_toffoli,tt,1.98,-40,C,C_OUT,001,000,fall,41.2825,48.8064,False
rev_toffoli,tt,1.98,-40,A,A_OUT,010,110,rise,0.0,60.0,True
rev_toffoli,tt,1.98,-40,A,C_OUT,010,110,rise,154.7002,194.7265,False
rev_toffoli,tt,1.98,-40,B,B_OUT,010,000,fall,0.0,60.0,True
rev_toffoli,tt,1.98,-40,C,C_OUT,010,011,rise,40.9379,124.6848,False
rev_toffoli,tt,1.98,-40,A,A_OUT,011,111,rise,0.0,60.0,True
rev_toffoli,tt,1.98,-40,A,C_OUT,011,111,fall,116.963,60.0902,False
rev_toffoli,tt,1.98,-40,B,B_OUT,011,001,fall,0.0,60.0,True
rev_toffoli,tt,1.98,-40,C,C_OUT,011,010,fall,42.247,49.8021,False
rev_toffoli,tt,1.98,-40,A,A_OUT,100,000,fall,0.0,60.0,True
rev_toffoli,tt,1.98,-40,B,B_OUT,100,110,rise,0.0,60.0,True
rev_toffoli,tt,1.98,-40,B,C_OUT,100,110,rise,158.4505,194.8681,False
rev_toffoli,tt,1.98,-40,C,C_OUT,100,101,rise,40.9411,124.6872,False
rev_toffoli,tt,1.98,-40,A,A_OUT,101,001,fall,0.0,60.0,True
rev_toffoli,tt,1.98,-40,B,B_OUT,101,111,rise,0.0,60.0,True
rev_toffoli,tt,1.98,-40,B,C_OUT,101,111,fall,120.1445,59.8832,False
rev_toffoli,tt,1.98,-40,C,C_OUT,101,100,fall,42.2495,49.8037,False
rev_toffoli,tt,1.98,-40,A,A_OUT,110,010,fall,0.0,60.0,True
rev_toffoli,tt,1.98,-40,A,C_OUT,110,010,fall,142.0599,50.085,False
rev_toffoli,tt,1.98,-40,B,B_OUT,110,100,fall,0.0,60.0,True
rev_toffoli,tt,1.98,-40,B,C_OUT,110,100,fall,171.617,51.8762,False
rev_toffoli,tt,1.98,-40,C,C_OUT,110,111,fall,75.4698,49.6608,False
rev_toffoli,tt,1.98,-40,A,A_OUT,111,011,fall,0.0,60.0,True
rev_toffoli,tt,1.98,-40,A,C_OUT,111,011,rise,165.7477,99.6059,False
rev_toffoli,tt,1.98,-40,B,B_OUT,111,101,fall,0.0,60.0,True
rev_toffoli,tt,1.98,-40,B,C_OUT,111,101,rise,195.8192,100.4254,False
rev_toffoli,tt,1.98,-40,C,C_OUT,111,110,rise,161.7589,217.5893,False
rev_toffoli,ss,1.8,27,A,A_OUT,000,100,rise,0.0,60.0,True
rev_toffoli,ss,1.8,27,B,B_OUT,000,010,rise,0.0,60.0,True
rev_toffoli,ss,1.8,27,C,C_OUT,000,001,rise,67.6058,174.4834,False
rev_toffoli,ss,1.8,27,A,A_OUT,001,101,rise,0.0,60.0,True
rev_toffoli,ss,1.8,27,B,B_OUT,001,011,rise,0.0,60.0,True
rev_toffoli,ss,1.8,27,C,C_OUT,001,000,fall,55.7901,57.759,False
rev_toffoli,ss,1.8,27,A,A_OUT,010,110,rise,0.0,60.0,True
rev_toffoli,ss,1.8,27,A,C_OUT,010,110,rise,263.6038,319.0395,False
rev_toffoli,ss,1.8,27,B,B_OUT,010,000,fall,0.0,60.0,True
rev_toffoli,ss,1.8,27,C,C_OUT,010,011,rise,64.9314,172.27,False
rev_toffoli,ss,1.8,27,A,A_OUT,011,111,rise,0.0,60.0,True
rev_toffoli,ss,1.8,27,A,C_OUT,011,111,fall,191.8677,98.956,False
rev_toffoli,ss,1.8,27,B,B_OUT,011,001,fall,0.0,60.0,True
rev_toffoli,ss,1.8,27,C,C_OUT,011,010,fall,57.1877,59.8954,False
rev_toffoli,ss,1.8,27,A,A_OUT,100,000,fall,0.0,60.0,True
rev_toffoli,ss,1.8,27,B,B_OUT,100,110,rise,0.0,60.0,True
rev_toffoli,ss,1.8,27,B,C_OUT,100,110,rise,269.3455,319.1511,False
rev_toffoli,ss,1.8,27,C,C_OUT,100,101,rise,64.937,172.2747,False
rev_toffoli,ss,1.8,27,A,A_OUT,101,001,fall,0.0,60.0,True
